"edu_id","match_fam_id","edu_BirthYear","edu_GenderNum","edu_GenderNum.1","edu_ParentOcc","edu_ParentSES","edu_AdmissionYear","edu_YearStart","edu_YearFinish","edu_YearsOut","edu_SchoolLeavingAge","edu_LeaveIslands","edu_CompletedEdu","edu_FurtherEduVOther","edu_StaysCompletedEdu","adult_fam.id","adult_SES","adult_Fertility","deaths_id","deaths_DeathAge"
1931,1004,1910,"1","1","",NA,1915,1915,1924,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2210,1004,1916,"1","1","",NA,1923,1923,1930,NA,14,"1",NA,NA,NA,NA,NA,NA,NA,NA
1227,30,1882,"1","1","Coastguard",57.72,1890,1890,1891,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
2222,466,1915,"1","1","Duchy.Labourer",34.52,1923,1923,1926,NA,11,"1",NA,NA,NA,NA,NA,NA,NA,NA
1694,1004,1904,"1","1","",NA,1910,1910,1919,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1348,1004,NA,"1","1","",NA,1897,1897,1897,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1595,1004,1900,"1","1","",NA,1907,1907,1909,NA,9,"1",NA,NA,NA,NA,NA,NA,NA,NA
1898,1004,1904,"1","1","",NA,1913,1913,1914,NA,10,"1",NA,NA,NA,NA,NA,NA,NA,NA
1151,99,1879,"1","1","Lodgings",60.56,1886,1886,1893,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1304,167,1884,"1","1","Coastguard",57.72,1894,1894,1895,NA,11,"0",NA,NA,NA,NA,NA,NA,NA,NA
1474,148,1898,"1","1","Labourer",34.52,1904,1904,1911,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2177,404,1917,"1","1","Fisherman",52.66,1921,1921,1931,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1994,351,1910,"1","1","Farmer",51.61,1916,1916,1924,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1598,1004,1900,"1","1","",NA,1907,1907,1908,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
1114,66,1879,"1","1","Labourer",34.52,1885,1885,1892,NA,13,"0",NA,NA,NA,NA,NA,NA,NA,NA
2391,559,1925,"1","1","Club.Steward",58.56,1930,1930,1939,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1353,194,1891,"1","1","Boatman",57.2,1897,1897,1904,NA,13,"0","1","0",1,NA,NA,NA,3805,29
2088,394,1912,"1","1","Air.Service",57.72,1918,1918,1919,NA,7,"1",NA,NA,NA,NA,NA,NA,NA,NA
1061,52,1870,"1","1","Blacksmith",46.09,1882,1882,1884,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1678,1004,1900,"1","1","",NA,1909,1909,1909,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
2254,1004,1917,"1","1","",NA,1924,1924,1925,NA,8,"1",NA,NA,NA,NA,NA,NA,NA,NA
2827,849,1943,"1","1","Elect.Engineer",63.65,1948,1948,1958,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1313,149,1888,"1","1","Labourer",34.52,1895,1895,1902,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
1181,102,1880,"1","1","Labourer",34.52,1887,1887,1892,NA,12,"0",NA,NA,NA,1199,34.52,1,NA,NA
1356,187,1891,"1","1","Labourer",34.52,1897,1897,1900,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1322,178,1889,"1","1","Labourer",34.52,1896,1896,1903,NA,14,"0",NA,NA,NA,NA,NA,NA,NA,NA
2011,357,1907,"1","1","Soldier.",38.7,1916,1916,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1292,162,1883,"1","1","Lightkeeper",51.63,1894,1894,1897,NA,14,"0",NA,NA,NA,NA,NA,NA,4214,51
1420,229,1892,"1","1","Lightkeeper",51.63,1900,1900,1901,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
2248,481,1918,"1","1","Engineer",82.83,1924,1924,1932,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
2255,1004,NA,"1","1","",NA,1924,1924,1924,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
1447,207,1894,"1","1","Labourer",34.52,1902,1902,1909,NA,15,"0","1",NA,1,NA,NA,NA,NA,NA
1336,177,1889,"1","1","Merchant",60.31,1896,1896,1896,NA,7,"0",NA,NA,NA,NA,NA,NA,NA,NA
1458,248,1897,"1","1","Labourer",34.52,1903,1903,1910,NA,13,"0","1","0",1,NA,NA,NA,NA,NA
1079,65,1877,"1","1","Washerwoman",48.43,1883,1883,1887,NA,10,"0",NA,NA,NA,998,34.52,5,NA,NA
2653,738,1936,"1","1","Baker",39.63,1941,1941,1945,3,9,"0","1","0",1,NA,NA,NA,NA,NA
2735,784,1940,"1","1","P.O.",45.47,1945,1945,1955,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1144,96,1879,"1","1","Carpenter",50,1886,1886,1888,NA,9,"0",NA,NA,NA,NA,NA,NA,NA,NA
1891,1004,1903,"1","1","",NA,1913,1913,NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA
2491,632,1929,"1","1","Labourer",34.52,1934,1934,1943,NA,14,"0","1",NA,1,NA,NA,NA,NA,NA
1156,100,1879,"1","1","Butcher",50.81,1886,1886,1893,NA,14,"0",NA,NA,NA,NA,NA,NA,4537,49
2990,965,1940,"1","1","Farm.Labourer",52.02,1953,1953,1955,NA,15,"0","1","0",1,NA,NA,NA,NA,NA
1757,1004,1905,"1","1","",NA,1909,1909,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
2883,884,1945,"1","1","Boatman",57.2,1950,1950,1961,NA,16,"0",NA,NA,NA,NA,NA,NA,NA,NA
2024,361,1914,"1","1","Lightkeeper",51.63,1917,1917,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA
1670,1004,1903,"0","0","",NA,1909,1909,1916,NA,13,"0","1",NA,1,NA,NA,NA,NA,NA
1967,1004,1907,"0","0","",NA,1916,1916,1918,NA,11,"0",NA,NA,NA,NA,NA,NA,NA,NA
2372,547,1917,"0","0","Coastguard",57.72,1929,1929,1930,NA,13,"0","1",NA,NA,NA,NA,NA,NA,NA
2716,1004,1931,"0","0","Evacuee",NA,1944,1944,1944,NA,13,"1",NA,NA,NA,NA,NA,NA,NA,NA
2045,374,1913,"0","0","R.N.R.",57.72,1917,1917,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
2301,502,1921,"1","1","Farmer",51.61,1926,1926,1937,NA,16,"0","1",NA,1,NA,NA,NA,NA,NA
2955,939,1947,"0","0","Vicar",74.23,1952,1952,1953,NA,6,"1",NA,NA,NA,NA,NA,NA,NA,NA
2770,807,NA,"0","0","Carpenter",50,1946,1946,1948,NA,NA,"0","1",NA,1,NA,NA,NA,NA,NA
